[12/04/2020 2:46:07] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_index], Params: [ Human/H_Paladin2] 
[12/04/2020 2:46:10] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 110 2] 
[12/04/2020 2:46:17] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_get_skills], Params: [] 
[12/04/2020 2:46:25] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_remove_all_skills], Params: [] 
[12/04/2020 2:46:40] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_admin], Params: [] 
[12/04/2020 2:46:51] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:46:56] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_show_skills], Params: [] 
[12/04/2020 2:46:59] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_give_all_skills], Params: [] 
[12/04/2020 2:47:20] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:47:22] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[12/04/2020 2:47:25] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 395 1] 
[12/04/2020 2:47:26] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:47:28] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[12/04/2020 2:47:30] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 396 1] 
[12/04/2020 2:47:32] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:47:33] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[12/04/2020 2:47:34] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 1374 1] 
[12/04/2020 2:47:36] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:47:38] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[12/04/2020 2:47:39] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 1375 1] 
[12/04/2020 2:47:40] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:47:41] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[12/04/2020 2:47:43] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 1376 1] 
[12/04/2020 2:47:44] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:47:45] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Special/GM_Skills.htm] 
[12/04/2020 2:47:48] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_show_skills], Params: [] 
[12/04/2020 2:47:53] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_reset_skills], Params: [] 
[12/04/2020 2:47:59] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_remove_all_skills], Params: [] 
[12/04/2020 2:48:04] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:48:06] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_show_skills], Params: [] 
[12/04/2020 2:48:09] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_reset_skills], Params: [] 
[12/04/2020 2:48:15] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_get_skills], Params: [] 
[12/04/2020 2:48:16] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_reset_skills], Params: [] 
[12/04/2020 2:49:00] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_give_all_skills], Params: [] 
[12/04/2020 2:49:14] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_reset_skills], Params: [] 
[12/04/2020 2:49:21] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_current_player], Params: [] 
[12/04/2020 2:49:25] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_admin], Params: [] 
[12/04/2020 2:49:26] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_create_item], Params: [] 
[12/04/2020 2:49:30] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_admin], Params: [] 
[12/04/2020 2:49:32] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_spawn_monster], Params: [] 
[12/04/2020 2:49:34] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_spawn_index], Params: [ 80] 
[12/04/2020 2:49:39] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_spawn_index], Params: [ 80 107] 
[12/04/2020 2:49:41] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_show_spawns], Params: [] 
[12/04/2020 2:49:43] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_admin], Params: [] 
[12/04/2020 2:49:44] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_list_spawns], Params: [] 
[12/04/2020 2:50:01] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_admin], Params: [] 
[12/04/2020 2:50:04] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_set_menu], Params: [] 
[12/04/2020 2:53:38] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_teleport_to_character SEBALANGA], Params: [] 
[12/04/2020 2:53:49] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_teleportto sebalanga], Params: [] 
[12/04/2020 2:54:20] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_skill_index], Params: [] 
[12/04/2020 2:55:47] --> GM: Ducha [268478400], Target: [Antharas], Action: [admin_enchant], Params: [] 
[12/04/2020 2:56:19] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_admin], Params: [] 
[12/04/2020 2:56:25] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_admin2], Params: [] 
[12/04/2020 2:56:30] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_admin3], Params: [] 
[12/04/2020 2:56:38] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_polymorph_menu], Params: [] 
[12/04/2020 2:56:41] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_polyself_menu], Params: [] 
[12/04/2020 2:56:42] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_polyself_menu], Params: [] 
[12/04/2020 2:56:48] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_help], Params: [ help/effects_menu.htm] 
[12/04/2020 2:56:53] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin3], Params: [] 
[12/04/2020 2:56:54] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin4], Params: [] 
[12/04/2020 2:56:54] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin5], Params: [] 
[12/04/2020 2:57:00] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin], Params: [] 
[12/04/2020 2:57:19] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_enchant], Params: [] 
[12/04/2020 2:57:20] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin], Params: [] 
[12/04/2020 2:57:33] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin3], Params: [] 
[12/04/2020 2:57:36] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin2], Params: [] 
[12/04/2020 2:57:40] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_char_manage], Params: [] 
[12/04/2020 2:57:47] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin2], Params: [] 
[12/04/2020 3:00:34] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_teleportto sebalanga], Params: [] 
[12/04/2020 3:01:05] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_current_player], Params: [] 
[12/04/2020 3:01:10] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_show_skills], Params: [] 
[12/04/2020 3:01:19] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 3:01:27] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Special/Fishing_Skills.htm] 
[12/04/2020 3:01:31] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 1312 1] 
[12/04/2020 3:01:45] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 3:03:02] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_recall SEBALANGA], Params: [] 
[12/04/2020 3:04:56] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gm], Params: [] 
[12/04/2020 3:05:17] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gm], Params: [] 
[12/04/2020 3:05:24] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gm], Params: [] 
[12/04/2020 3:05:28] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:05:45] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin5], Params: [] 
[12/04/2020 3:05:50] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:05:54] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gmliston], Params: [] 
[12/04/2020 3:06:49] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_gm], Params: [] 
[12/04/2020 3:06:52] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_admin], Params: [] 
[12/04/2020 3:06:57] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_invis_menu], Params: [] 
[12/04/2020 3:07:01] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin], Params: [] 
[12/04/2020 3:07:03] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_invis_menu], Params: [] 
[12/04/2020 3:07:06] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:07:11] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_view_petitions], Params: [] 
[12/04/2020 3:07:13] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:07:16] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_enchant], Params: [] 
[12/04/2020 3:07:21] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:07:23] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_ride_strider], Params: [] 
[12/04/2020 3:07:45] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:07:52] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_ride_strider], Params: [] 
[12/04/2020 3:08:18] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_unride_strider], Params: [] 
[12/04/2020 3:08:46] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:09:04] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 3:09:06] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_invis_menu], Params: [] 
[12/04/2020 3:10:58] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_restore], Params: [] 
[12/04/2020 3:11:00] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_repair], Params: [] 
[12/04/2020 3:12:10] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_buy], Params: [] 
